id_turn;start_time;end_time;name;gender;id_episode;id_show
9562;29.357;40.849;Olivier_TRUCHOT;male;83;2
9563;41.138;54.039;Alain_MARSCHALL;male;83;2
9564;54.393;73.417;Alain_MARSCHALL;male;83;2
9565;73.417;77.015;Olivier_TRUCHOT;male;83;2
9566;91.325;115.421;Olivier_TRUCHOT;male;83;2
9567;116.436;132.168;Jean-Paul_OLLIVIER;male;83;2
9568;132.494;135.109;Alain_GALLOPIN;male;83;2
9569;135.679;149.894;Alain_GALLOPIN;male;83;2
9570;150.294;165.709;Henri_SANNIER;male;83;2
9571;166.235;176.645;Olivier_TRUCHOT;male;83;2
9572;177.03;198.978;Olivier_TRUCHOT;male;83;2
9573;199.635;207.075;Olivier_TRUCHOT;male;83;2
9574;207.549;210.999;unk_685;male;83;2
9575;210.999;211.341;Nicolas_SARKOZY;male;83;2
9576;213.21;243.523;Olivier_TRUCHOT;male;83;2
9577;244.249;248.861;Olivier_TRUCHOT;male;83;2
9578;249.263;267.58;Olivier_TRUCHOT;male;83;2
9579;268.81;283.74;Olivier_TRUCHOT;male;83;2
9580;284.756;309.533;Olivier_TRUCHOT;male;83;2
9581;310.451;344.367;Olivier_TRUCHOT;male;83;2
9582;344.367;370.724;Alain_MARSCHALL;male;83;2
9583;370.724;383.057;Alain_MARSCHALL;male;83;2
9584;385.268;444.342;Marine_LE_PEN;female;83;2
9585;444.77;458.029;Alain_MARSCHALL;male;83;2
9586;460.14;481.824;Marine_LE_PEN;female;83;2
9587;482.097;497.674;Marine_LE_PEN;female;83;2
9588;498.045;515.204;Alain_MARSCHALL;male;83;2
9589;517.387;557.682;Marine_LE_PEN;female;83;2
9590;558.056;568.478;Olivier_TRUCHOT;male;83;2
9591;570.639;574.022;Marine_LE_PEN;female;83;2
9592;574.376;583.499;Marine_LE_PEN;female;83;2
9593;583.809;597.436;Marine_LE_PEN;female;83;2
9594;597.783;609.182;Marine_LE_PEN;female;83;2
9595;609.182;609.849;Olivier_TRUCHOT;male;83;2
