id_turn;start_time;end_time;name;gender;id_episode;id_show
18528;269.459;278.756;Luc_FERRY;male;132;13
18529;278.756;279.545;Ali_BADDOU;male;132;13
18530;279.545;282.176;multi_spk;NA;132;13
18531;282.176;286.804;Mathilde_TERRIER;female;132;13
18532;286.804;287.988;Ali_BADDOU;male;132;13
18533;287.988;290.574;multi_spk;NA;132;13
18534;290.574;305.611;Luc_FERRY;male;132;13
18535;305.611;318.022;Mathilde_TERRIER;female;132;13
18536;318.022;336.218;Andre_VALLINI;male;132;13
18537;336.218;346.574;Mathilde_TERRIER;female;132;13
18538;346.574;351.603;Christian_JACOB;male;132;13
18539;351.603;357.804;Mathilde_TERRIER;female;132;13
18540;357.804;375.763;Rachida_DATI;female;132;13
18541;375.763;384.607;Mathilde_TERRIER;female;132;13
18542;385.717;395.878;Myriam_ENCAOUA;female;132;13
18543;395.878;426.886;Lionnel_LUCA;male;132;13
18544;426.886;436.426;Myriam_ENCAOUA;female;132;13
18545;436.426;461.685;Lionnel_LUCA;male;132;13
18546;461.685;464.083;multi_spk;NA;132;13
18547;464.083;483.923;Lionnel_LUCA;male;132;13
18548;483.923;485.908;multi_spk;NA;132;13
18549;485.908;489.855;Myriam_ENCAOUA;female;132;13
18550;489.855;504.143;Lionnel_LUCA;male;132;13
18551;504.143;505.811;multi_spk;NA;132;13
18552;505.811;510.711;Myriam_ENCAOUA;female;132;13
18553;510.711;528.375;Lionnel_LUCA;male;132;13
18554;528.375;532.548;Myriam_ENCAOUA;female;132;13
18555;532.548;537.061;Lionnel_LUCA;male;132;13
18556;537.061;566.73;Myriam_ENCAOUA;female;132;13
18557;566.73;590.895;Lionnel_LUCA;male;132;13
18558;590.895;604.566;Myriam_ENCAOUA;female;132;13
18559;604.566;610.619;Lionnel_LUCA;male;132;13
18560;611.11;621.844;Lionnel_LUCA;male;132;13
18561;621.844;624.296;Myriam_ENCAOUA;female;132;13
18562;624.831;634.018;Myriam_ENCAOUA;female;132;13
18563;634.018;653.228;Lionnel_LUCA;male;132;13
18564;653.228;654.762;Myriam_ENCAOUA;female;132;13
18565;655.141;670.345;Lionnel_LUCA;male;132;13
18566;670.345;684.936;Myriam_ENCAOUA;female;132;13
18567;685.327;707.354;Lionnel_LUCA;male;132;13
18568;707.792;711.159;Myriam_ENCAOUA;female;132;13
18569;711.486;725.115;Lionnel_LUCA;male;132;13
18570;725.115;738.667;Myriam_ENCAOUA;female;132;13
18571;739.058;753.126;Lionnel_LUCA;male;132;13
18572;753.126;754.268;Myriam_ENCAOUA;female;132;13
18573;754.268;763.462;Lionnel_LUCA;male;132;13
18574;763.462;766.192;Myriam_ENCAOUA;female;132;13
18575;766.192;771.527;Lionnel_LUCA;male;132;13
18576;772.223;776.011;Lionnel_LUCA;male;132;13
18577;776.011;778.554;Myriam_ENCAOUA;female;132;13
18578;779.557;784.607;Lionnel_LUCA;male;132;13
18579;785.016;787.621;Myriam_ENCAOUA;female;132;13
18580;787.621;789.347;multi_spk;NA;132;13
18581;789.347;796.818;Lionnel_LUCA;male;132;13
18582;797.41;797.942;Myriam_ENCAOUA;female;132;13
18583;798.464;800.125;Myriam_ENCAOUA;female;132;13
18584;800.125;812.006;Lionnel_LUCA;male;132;13
18585;812.006;815.377;Myriam_ENCAOUA;female;132;13
18586;815.377;823.712;Lionnel_LUCA;male;132;13
18587;823.712;843.374;Myriam_ENCAOUA;female;132;13
18588;844.656;866.778;Marion_LEFEBVRE;female;132;13
