spk_name;gender;turn_count;total_length;spk_class;id_show
Herve_GARDETTE;male;11;403.507;4;26
Jean-Claude_PAJAK;male;2;73.22200000000002;4;26
Jacques_CHIRAC;male;1;41.64999999999998;3;26
Jean-Francois_ACHILLI;male;1;60.884000000000015;3;26
Valerie_CROVA;female;4;59.920999999999935;4;26
Philippe_SHYLE;male;1;20.569999999999993;1;26
Jean-Christophe_BUISSOU;male;2;23.55200000000002;2;26
Axel_URGIN;male;1;11.061000000000035;1;26
Marie_EVE;female;1;67.89800000000002;3;26
Veronique_REBEYROTTE;female;3;51.446000000000026;4;26
Jean-Louis_PY;male;3;24.857999999999947;2;26
Christophe_CHAMPIN;male;1;60.09500000000003;3;26
Nicolas_DEMORAND;male;20;427.99199999999814;4;26
Alexandre_ADLER;male;2;289.159;4;26
Jacques_DERRIDA;male;46;1430.2130000000013;4;26
Olivier_DUHAMEL;male;1;186.02600000000007;3;26
Marc_KRAVETZ;male;8;373.4659999999999;4;26
