id_turn;start_time;end_time;name;gender;id_episode;id_show
7766;8.503;11.466;unk_618;male;63;19
7767;16.226;21.795;unk_618;male;63;19
7768;21.795;22.625;Sylvie_BERRUET;female;63;19
7769;24.163;90.466;Sylvie_BERRUET;female;63;19
7770;92.549;136.236;Sylvie_BERRUET;female;63;19
7771;136.6;188.447;Angelique_KIDJO;female;63;19
7772;188.915;199.15;Sylvie_BERRUET;female;63;19
7773;199.15;231.687;Sylvie_BERRUET;female;63;19
7774;231.687;290.052;Laurence_TUBIANA;female;63;19
7775;290.052;293.116;Sylvie_BERRUET;female;63;19
7776;294.858;315.205;Sylvie_BERRUET;female;63;19
7777;315.205;333.189;Sylvie_BERRUET;female;63;19
7778;333.189;405.238;Michel_ZERR;male;63;19
7779;405.659;420.359;Sylvie_BERRUET;female;63;19
7780;420.359;448.823;Sylvie_BERRUET;female;63;19
7781;448.823;473.667;Sylvie_BERRUET;female;63;19
7782;473.667;527.311;Christophe_CARESCHE;male;63;19
7783;527.311;531.783;Sylvie_BERRUET;female;63;19
7784;531.783;556.343;Sylvie_BERRUET;female;63;19
7785;556.343;578.155;Sylvie_BERRUET;female;63;19
7786;578.155;644.91;Dominique_ROCH;female;63;19
7787;644.91;658.874;Sylvie_BERRUET;female;63;19
7788;658.874;669.84;Sylvie_BERRUET;female;63;19
7789;669.84;694.747;Sylvie_BERRUET;female;63;19
7790;695.121;737.659;Marion_BARTOLI;female;63;19
7791;737.659;766.103;Sylvie_BERRUET;female;63;19
7792;766.103;783.611;Sylvie_BERRUET;female;63;19
7793;783.611;875.078;Christophe_DIREMSZIAN;male;63;19
7794;875.078;898.258;Sylvie_BERRUET;female;63;19
7795;932.027;934.253;unk_619;male;63;19
7796;935.736;968.09;Sylvie_BERRUET;female;63;19
7797;975.486;1022.373;Christelle_BARBIER;female;63;19
7798;1022.373;1025.028;Javier_LAOS;male;63;19
7799;1025.028;1042.979;unk_620;NA;63;19
7800;1042.979;1044.462;Javier_LAOS;male;63;19
7801;1044.462;1059.546;Christelle_BARBIER;female;63;19
7802;1059.546;1062.072;Mercedes_ARáOZ;female;63;19
7803;1062.072;1087.552;unk_624;female;63;19
7804;1087.552;1090.189;Mercedes_ARáOZ;female;63;19
7805;1090.189;1130.124;Christelle_BARBIER;female;63;19
7806;1130.124;1140.946;Sylvie_BERRUET;female;63;19
7807;1143.883;1221.722;Sylvie_BERRUET;female;63;19
7808;1223.708;1248.053;Sylvie_BERRUET;female;63;19
7809;1248.696;1267.605;Lucie_LOURDELLE;female;63;19
7810;1267.605;1268.044;unk_625;NA;63;19
7811;1268.044;1275.677;unk_623;male;63;19
7812;1276.936;1283.262;unk_623;male;63;19
7813;1283.877;1291.972;Lucie_LOURDELLE;female;63;19
7814;1291.972;1293.92;unk_621;female;63;19
7815;1293.92;1300.46;unk_622;male;63;19
7816;1301.028;1313.586;unk_622;male;63;19
7817;1313.586;1314.285;unk_621;female;63;19
7818;1314.844;1322.548;unk_622;male;63;19
7819;1323.019;1325.183;unk_622;male;63;19
7820;1325.651;1332.749;Lucie_LOURDELLE;female;63;19
7821;1333.476;1335.508;Sylvie_BERRUET;female;63;19
7822;1339.541;1363.914;Sylvie_BERRUET;female;63;19
7823;1364.315;1542.886;Anne_TOULOUSE;female;63;19
7824;1544.656;1552.12;unk_626;female;63;19
7825;1555.126;1566.723;Sylvie_BERRUET;female;63;19
7826;1566.723;1592.313;Daniel_DESESQUELLE;male;63;19
7827;1592.313;1606.845;Emmanuel_DAVIDSON;male;63;19
7828;1606.845;1613.482;Daniel_DESESQUELLE;male;63;19
7829;1613.482;1642.589;Emmanuel_DAVIDSON;male;63;19
7830;1642.93;1648.993;Daniel_DESESQUELLE;male;63;19
7831;1648.993;1679.741;Emmanuel_DAVIDSON;male;63;19
7832;1679.741;1689.229;Daniel_DESESQUELLE;male;63;19
7833;1689.229;1731.597;Emmanuel_DAVIDSON;male;63;19
7834;1731.597;1734.818;Daniel_DESESQUELLE;male;63;19
7835;1735.835;1764.996;Emmanuel_DAVIDSON;male;63;19
7836;1766.082;1781.441;Emmanuel_DAVIDSON;male;63;19
7837;1781.441;1785.023;Daniel_DESESQUELLE;male;63;19
7838;1785.023;1795.323;Sylvie_BERRUET;female;63;19
7839;1804.236;1807.46;Sylvie_BERRUET;female;63;19
7840;3.548;7.546;Olivier_FOUR;male;64;19
7841;11.541;12.896;unk_627;female;64;19
7842;13.827;14.81;unk_627;female;64;19
7843;15.223;82.377;Olivier_FOUR;male;64;19
7844;83.884;134.518;Olivier_FOUR;male;64;19
7845;134.518;210.258;Christophe_BOISBOUVIER;male;64;19
7846;210.258;349.762;Olivier_FOUR;male;64;19
7847;350.129;362.763;unk_628;male;64;19
7848;362.763;369.002;Ghislaine_DUPONT;female;64;19
7849;369.002;389.866;unk_628;male;64;19
7850;389.866;397.017;Ghislaine_DUPONT;female;64;19
7851;397.017;415.984;unk_628;male;64;19
7852;415.984;462.114;Olivier_FOUR;male;64;19
7853;462.114;522.438;Virginie_GOMEZ;female;64;19
7854;522.438;552.095;Olivier_FOUR;male;64;19
7855;552.095;611.405;Marie-Pierre_OLFAN;female;64;19
7856;611.405;667.948;Olivier_FOUR;male;64;19
7857;670.329;692.4;Manon_RIVIERE;female;64;19
7858;692.4;694.449;unk_629;female;64;19
7859;694.449;708.651;unk_630;female;64;19
7860;708.651;709.88;unk_629;female;64;19
7861;709.88;723.065;Manon_RIVIERE;female;64;19
7862;723.065;725.084;unk_631;male;64;19
7863;725.084;735.748;unk_632;male;64;19
7864;735.748;736.508;unk_631;male;64;19
7865;736.508;755.187;Manon_RIVIERE;female;64;19
7866;755.187;757.39;unk_633;male;64;19
7867;757.39;770.081;unk_634;male;64;19
7868;770.081;771.451;unk_633;male;64;19
7869;771.451;787.144;Manon_RIVIERE;female;64;19
7870;787.144;804.051;unk_635;male;64;19
7871;804.051;815.463;Manon_RIVIERE;female;64;19
7872;815.875;840.092;Olivier_FOUR;male;64;19
7873;840.092;922.414;Ousmane_KEITA;male;64;19
7874;922.414;937.504;Olivier_FOUR;male;64;19
9254;1.584;2.544;unk_673;female;75;19
9255;3.966;44.914;Bernard_NAGEOTTE;male;75;19
9256;44.914;166.702;Francois_BERNARD;male;75;19
9257;167.663;168.952;unk_673;female;75;19
9258;170.65;198.928;Bernard_NAGEOTTE;male;75;19
9259;199.853;277.98;Christine_MURATET;female;75;19
9260;277.98;283.996;Bernard_NAGEOTTE;male;75;19
9261;283.996;310.821;Bernard_NAGEOTTE;male;75;19
9262;310.821;355.511;Bernard_NAGEOTTE;male;75;19
9263;355.511;359.352;Salime_LONE;male;75;19
9264;359.352;401.636;multi_spk;NA;75;19
9265;401.636;405.259;Salime_LONE;male;75;19
9266;405.259;408.003;Bernard_NAGEOTTE;male;75;19
9267;408.003;445.386;Bernard_NAGEOTTE;male;75;19
9268;445.386;490.075;Nicolas_SARKOZY;male;75;19
9269;490.59;497.232;Nicolas_SARKOZY;male;75;19
9270;497.88;500.336;Nicolas_SARKOZY;male;75;19
9271;500.9;513.678;Nicolas_SARKOZY;male;75;19
9272;514.166;517.01;Nicolas_SARKOZY;male;75;19
9273;517.01;521.285;Bernard_NAGEOTTE;male;75;19
9274;521.285;561.041;Bernard_NAGEOTTE;male;75;19
9275;561.041;582.823;Bernard_NAGEOTTE;male;75;19
9276;0.0;0.885;unk_675;female;76;19
9277;1.625;2.923;unk_676;male;76;19
9278;4.79;45.364;unk_674;male;76;19
9279;45.364;70.326;Vital_KAMERE;male;76;19
9280;70.326;74.134;Ghislaine_DUPONT;female;76;19
9281;74.134;102.078;Vital_KAMERE;male;76;19
9282;102.078;107.905;Ghislaine_DUPONT;female;76;19
9283;107.905;115.079;Vital_KAMERE;male;76;19
9284;115.079;127.235;unk_674;male;76;19
9285;127.235;159.568;unk_674;male;76;19
9286;159.568;217.562;unk_674;male;76;19
9287;217.89;280.064;Gabriel_KAHN;male;76;19
9288;280.434;305.671;unk_674;male;76;19
9289;305.671;329.785;unk_674;male;76;19
9290;329.785;379.885;unk_674;male;76;19
9291;379.885;439.994;Reed_BRODY;male;76;19
9292;439.994;460.535;unk_674;male;76;19
9293;0.0;3.772;Marie_CASADEBAIG;female;77;19
9294;7.949;9.037;unk_677;male;77;19
9295;10.766;44.828;Marie_CASADEBAIG;female;77;19
9296;45.447;178.068;Francois_BERNARD;male;77;19
9297;179.065;180.197;unk_677;male;77;19
9298;182.184;212.162;Marie_CASADEBAIG;female;77;19
9299;212.905;284.061;Emmanuel_D_ABZAC;male;77;19
9300;284.061;293.851;Marie_CASADEBAIG;female;77;19
9301;295.98;316.002;Marie_CASADEBAIG;female;77;19
9302;316.536;378.788;Kamanda_WA_KAMANDA_MUZEMBE;male;77;19
9303;379.194;436.235;Marie_CASADEBAIG;female;77;19
9304;436.235;463.976;Marie_CASADEBAIG;female;77;19
9305;464.331;521.68;Karine_FRANK;female;77;19
9306;522.293;560.495;Marie_CASADEBAIG;female;77;19
9307;560.495;589.663;Marie_CASADEBAIG;female;77;19
9308;2.733;8.457;multi_spk;NA;78;19
