spk_name;gender;turn_count;total_length;spk_class;id_show
Emmanuel_CUGNY;male;49;587.745999999999;4;10
Maude_BAYEU;female;12;423.24599999999987;4;10
Herve_GAYMARD;male;1;49.507000000000005;3;10
Arnaud_FLEURY;male;2;60.18899999999968;4;10
Marjorie_ROULMANN;female;5;38.809999999999945;4;10
Jean-Remi_MAKIAGE;male;3;57.38099999999997;4;10
Harold_HYMAN;male;2;15.849999999999966;2;10
unk_564;female;9;23.70399999999961;2;10
Nedim_GURSEL;male;2;133.4530000000001;4;10
Frederic_LORENZINI;male;2;82.02399999999989;4;10
Solange_MAULINI;female;1;47.84100000000012;3;10
Pascal_BOULARD;male;3;77.80900000000042;4;10
Gerard_PRINCE;male;7;151.587;4;10
Nicolas_PIERRON;male;8;343.19299999999976;4;10
Ariane_OBOLENSKY;female;2;49.802000000000135;4;10
Celine_KAJOULIS;female;1;10.288999999999987;1;10
Guillaume_PAUL;male;1;65.54999999999973;3;10
Eric_CHANEY;male;1;60.028999999999996;3;10
Francois_LOOS;male;2;55.06200000000035;4;10
Anissa_EL_JABRI;female;4;73.84599999999955;4;10
Noel_MAMERE;male;1;19.06800000000021;1;10
Francois_BAYROU;male;8;22.899000000000342;2;10
Alain_MADELIN;male;1;23.159000000000106;1;10
unk_565;male;2;9.939000000000306;2;10
Pierre_KUPFERMAN;male;3;74.40999999999985;4;10
Olivier_NAHUM;male;5;422.3399999999997;4;10
