spk_name;gender;turn_count;total_length;spk_class;id_show
Guillaume_VANHEMS;male;193;2166.3460000000005;4;8
unk_255;female;5;9.993000000000283;1;8
Pascal_LE_GUERN;male;71;2532.638000000001;4;8
Laurence_SIMON;female;3;135.04299999999995;1;8
Lise_JOLLY;female;1;39.93000000000001;1;8
unk_256;female;1;29.819999999999993;1;8
Vincent_RODRIGUEZ;male;3;100.04300000000023;1;8
unk_257;female;4;15.525999999999897;1;8
Joel_COLLADO;male;31;1205.1030000000005;4;8
unk_258;female;2;1.8009999999999309;1;8
Richard_PLACE;male;6;125.43999999999994;1;8
Peter_VAN_PETEGEM;male;1;19.355999999999995;1;8
Daniel_BAAL;male;1;27.379999999999995;1;8
unk_259;female;4;9.698999999999842;1;8
Catherine_MONET;female;6;254.79599999999994;1;8
unk_260;female;4;4.792000000000371;1;8
Alain_ALLINANT;male;8;41.906999999999925;1;8
unk_261;male;2;6.148000000000025;1;8
Benedicte_TASSART;female;22;602.137;4;8
Gerard_ASCHIERI;male;1;35.15099999999984;1;8
Yves_DURAND;male;1;40.76999999999998;1;8
unk_262;female;2;2.772999999999911;1;8
Emmanuelle_DAVIET;female;24;256.3269999999993;2;8
Marie-Jeanne_HUSSET;female;3;67.49900000000002;1;8
unk_263;female;1;0.9740000000001601;1;8
Bernard_STEPHANE;male;62;294.3140000000003;2;8
Michel_LEGRAND;male;11;162.27500000000055;1;8
Sophie_VAUDIN;female;3;67.56400000000008;1;8
Bruno_CHAUTEMPS;male;1;18.855999999999995;1;8
Michel_LOYONS;male;1;28.089999999999918;1;8
unk_264;female;2;15.146999999999935;1;8
Jean-Pierre_GAILLARD;male;41;1479.3030000000003;4;8
Anne_CHEPEAU;female;45;1731.195;4;8
Lionel_THOMPSON;male;5;221.60600000000005;1;8
Quentin_DICKINSON;male;6;329.9530000000003;1;8
Francois_ZANINI;male;2;98.86200000000008;1;8
Stephane_IGLESIS;male;10;158.1310000000001;1;8
Fabrice_ABGRALL;male;10;1181.6779999999994;3;8
Isabelle_LABEYRIE;female;13;177.8670000000002;1;8
Mohamed_BECHARI;male;2;22.990999999999985;1;8
Fouad_ALAOUI;male;2;45.92000000000007;1;8
Dalil_BOUBAKEUR;male;2;25.64599999999973;1;8
unk_265;female;3;26.665999999999713;1;8
Antoine_BASBOUS;male;4;110.6869999999999;1;8
Marie-Ange_LESCURE;female;16;251.31400000000008;1;8
