spk_name;gender;turn_count;total_length;spk_class;id_show
Nicolas_STOUFFLET;male;47;299.60440961799975;1;9
Patricia_MARTIN;female;437;1943.0679999999968;4;9
Simon_TIVOLLE;male;122;5460.471000000001;4;9
Lionel_THOMPSON;male;12;255.1870000000001;1;9
Vincent_JOSSE;male;43;1012.4309999999998;1;9
unk_0;male;5;6.487000000000023;1;9
unk_1;NA;11;37.14999999999981;1;9
unk_2;male;1;0.7980000000000018;1;9
unk_3;female;1;0.6929999999999836;1;9
multi_spk;NA;794;2768.9150000000054;4;9
Lysiane_BLE;female;3;5.831000000000074;1;9
Helene_CARDIN;female;26;982.336000000001;1;9
Herve_JUVIN;male;1;52.801000000000045;1;9
Bernard_LEGRAS;male;2;54.918000000000006;1;9
Frederic_BARREYRE;male;11;440.2390000000005;1;9
Pascal_SANTONI;male;1;59.67999999999995;1;9
Pascal_MIZRAHI;male;12;648.2159999999998;1;9
Isabel_PASQUIER;female;21;559.9960000000009;1;9
Gerard_ZENONI;male;64;357.2689999999998;1;9
Pascale_KELLA;female;1;100.048;1;9
Brigitte_JEANPERRIN;female;11;409.9709999999998;1;9
Jean-Marie_PERNAULT;male;1;112.30699999999979;1;9
Jean-Marc_SYLVESTRE;male;40;2561.432;3;9
Joel_COLLADO;male;60;2420.1229999999987;3;9
Yves_DECAENS;male;119;5607.164999999997;4;9
Jean-Luc_CHIVOT;male;2;57.567999999999984;1;9
Jean-Francois_ACHILLI;male;4;186.13900000000012;1;9
Danielle_MESSAGER;female;14;312.91099999999983;1;9
unk_4;female;3;3.5309999999997217;1;9
unk_5;male;7;38.248000000000275;1;9
unk_6;female;3;10.510000000000218;1;9
unk_7;female;5;11.096999999999753;1;9
unk_8;male;3;41.53600000000006;1;9
Frederic_BOURGADE;male;11;178.59800000000047;1;9
unk_9;male;2;24.666999999999916;1;9
Marie-Christine_LAURIOL;female;4;108.5329999999999;1;9
unk_10;female;1;13.593000000000302;1;9
unk_11;male;1;9.690999999999804;1;9
Jean-Francois_RHEIN;male;9;318.1539999999993;1;9
Philippe_MEYER;male;28;1425.4349999999995;1;9
Christian_MAGDELEINE;male;15;453.01199999999926;1;9
Pierre_WEILL;male;72;1073.2649999999996;2;9
Pascal_DERVIEUX;male;11;469.38599999999946;1;9
Pierre_LE_MARC;male;24;2672.2680000000005;3;9
Alain_PASSEREL;male;199;6319.116000000005;4;9
Michel_DARRE;male;2;51.601;1;9
Olivier_HUE;male;1;2.1200000000000045;1;9
Eva_BETTAN;female;7;340.62800000000004;1;9
Cesar_BALDACCINI;male;2;46.55500000000001;1;9
unk_12;male;1;78.22199999999998;1;9
Willy_VOET;male;1;58.47300000000007;1;9
Dominique_BROMBERGER;male;37;3165.961000000001;3;9
Stephane_PAOLI;male;348;3242.0879999999997;4;9
Robert_BADINTER;male;19;1011.7499999999993;1;9
Pascale_CLARK;female;35;5150.050000000003;3;9
unk_13;female;1;26.498000000000047;1;9
Alex_TAYLOR;male;39;2541.3640000000005;3;9
Bertrand_VANNIER;male;150;1044.7999999999993;2;9
unk_14;female;2;48.74100000000044;1;9
unk_15;male;3;79.30999999999995;1;9
unk_16;female;2;37.50999999999976;1;9
unk_17;male;1;33.03699999999981;1;9
Bel_KACEM;male;2;70.92700000000013;1;9
Guilaume_PEPY;male;2;93.92899999999999;1;9
Benoit_VINCENT;male;1;38.91299999999998;1;9
Dominique_BUSSEREAU;male;1;52.96599999999998;1;9
unk_18;female;1;45.164999999999964;1;9
Fabienne_SINTES;female;4;228.61200000000025;1;9
unk_19;male;2;40.079000000000065;1;9
unk_20;female;4;36.996000000000095;1;9
Christian_BAUBY;male;6;114.4369999999999;1;9
Francois_KLIPFFEL;male;3;109.59299999999996;1;9
unk_21;male;1;26.932999999999993;1;9
Corinne_AUDOUIN;female;9;338.22299999999984;1;9
Philippe_REVERCHON;male;4;87.89499999999998;1;9
Irene_CLERC;female;1;119.15000000000009;1;9
Luc_LEMONNIER;male;6;416.7600000000002;1;9
Gerard_BLONCOURT;male;2;65.78899999999976;1;9
Mathieu_ARON;male;1;2.2460000000000946;1;9
Pascal_PLACHARD;male;1;58.55600000000004;1;9
Serge_MARTINEZ;male;5;112.22300000000035;1;9
Bruno_GOLLNISCH;male;6;105.86999999999966;1;9
unk_22;female;2;7.675000000000182;1;9
unk_23;female;2;21.501000000000204;1;9
unk_24;male;1;7.83199999999988;1;9
Jacques_PLANA;male;6;444.5889999999995;1;9
Mireille_LEMARESQUIER;female;11;664.4890000000001;1;9
unk_25;female;1;12.111000000000331;1;9
unk_26;male;1;7.5349999999998545;1;9
unk_27;male;1;7.371000000000095;1;9
Elina_DUMONT;female;2;79.64700000000008;1;9
Olivier_DANREY;male;6;8.222999999999729;1;9
Bernard_VOUCHET;male;1;32.68900000000002;1;9
Olivier_MARTOCK;male;3;80.91599999999993;1;9
Michel_VAUZELLE;male;1;26.369000000000028;1;9
Jean-Marc_FOUR;male;9;427.35300000000007;1;9
Roselyne_BACHELOT;female;23;741.9649999999999;1;9
unk_28;male;1;7.051999999999907;1;9
Alain_REY;male;28;2415.7380000000007;3;9
unk_29;male;2;67.04300000000012;1;9
unk_30;female;1;11.615999999999985;1;9
unk_31;male;2;27.355000000000473;1;9
unk_32;female;2;20.519999999999982;1;9
unk_33;male;3;90.92699999999968;1;9
Jerome_DORVILLE;male;2;123.712;1;9
Philippe_SEGUIN;male;3;126.11999999999989;1;9
Francis_LEGRAND;male;1;64.14300000000003;1;9
Christian_BATAILLE;male;1;64.22399999999999;1;9
Valery_LEROUGE;male;5;96.26999999999987;1;9
Guy_DRUT;male;1;53.077999999999975;1;9
Christophe_DUGARRY;male;1;44.28200000000004;1;9
Olivier_FLEUROT;male;6;89.64800000000014;1;9
unk_34;male;5;13.288999999999987;1;9
Chantal_CUMUNEL;female;1;102.88499999999999;1;9
Jacques_KESSLER;male;3;122.83000000000015;1;9
Leslie_LE_TAC;male;1;55.65599999999995;1;9
Sylvain_BRIERE;male;1;61.02599999999984;1;9
Madeleine_ALBRIGHT;female;1;33.54399999999987;1;9
Bernard_LACOMBE;male;1;35.903999999999996;1;9
Jean_TIBERI;male;3;71.74999999999989;1;9
Georges_GOUJON;male;8;279.1650000000001;1;9
unk_35;female;2;22.699999999999818;1;9
unk_36;male;1;7.485000000000127;1;9
Marie-Charlotte_VIAL;female;1;73.16499999999996;1;9
Lise_JOLLY;female;7;500.59000000000003;1;9
Serge_MARTIN;male;25;571.6109999999996;1;9
Nathalie_FONTREL;female;17;474.17499999999984;1;9
Elisabeth_GUIGOU;female;1;32.099999999999966;1;9
Christine_BOUTIN;female;1;35.24199999999996;1;9
unk_37;female;2;45.37300000000005;1;9
Francis_LEFEBVRE;male;3;71.22800000000007;1;9
Pierre-Louis_CASTELLI;male;1;59.210000000000036;1;9
Robert_GUEDIGUIAN;male;2;58.902999999999906;1;9
Michel_ROCARD;male;22;813.1249999999998;1;9
unk_38;female;1;41.2529999999997;1;9
unk_39;male;2;16.860000000000127;1;9
unk_40;male;3;34.11399999999958;1;9
unk_41;female;1;16.9050000000002;1;9
Yves_IZARD;male;11;170.174;1;9
Malisa_CASTILLO;female;2;18.994;1;9
Roger_CLAUDET;male;1;56.230999999999995;1;9
unk_42;male;1;59.75200000000001;1;9
Dominique_VOYNET;female;1;58.553000000000054;1;9
Marie-Therese_GEFFROY;female;1;59.91599999999994;1;9
Jean-Jacques_SERVERA;male;1;31.08400000000006;1;9
Marie-France_STIRBOIS;female;2;11.766000000000076;1;9
Franck_HERIOT;male;12;477.296;1;9
unk_43;male;2;8.682000000000016;1;9
Christine_OCKRENT;female;1;23.32899999999995;1;9
unk_44;NA;1;0.8089999999999691;1;9
unk_45;NA;1;2.974999999999909;1;9
unk_46;NA;1;1.6110000000001037;1;9
unk_47;NA;1;2.4349999999999454;1;9
unk_48;NA;1;1.0860000000000127;1;9
unk_49;NA;1;1.1899999999998272;1;9
unk_50;NA;1;12.626999999999953;1;9
unk_51;NA;1;14.807999999999993;1;9
unk_52;NA;1;18.531000000000176;1;9
Dominique_ERENFRID;female;4;94.93700000000013;1;9
Elisabeth_DEDINET;female;1;115.67399999999998;1;9
Eric_YUNG;male;1;81.93000000000006;1;9
unk_53;female;1;54.82199999999989;1;9
unk_54;NA;1;3.492999999999938;1;9
unk_55;NA;1;10.648999999999887;1;9
unk_56;NA;1;7.565000000000055;1;9
unk_57;NA;1;8.347999999999956;1;9
unk_58;NA;1;8.172000000000025;1;9
unk_59;NA;1;21.35199999999986;1;9
unk_60;NA;1;10.840000000000146;1;9
unk_61;male;4;17.73400000000038;1;9
unk_62;male;2;1.3209999999999127;1;9
David_BERNSTEIN;male;5;8.243999999999687;1;9
unk_63;male;2;18.985000000000127;1;9
unk_64;male;1;3.4989999999997963;1;9
Noel_MAMERE;male;6;168.47300000000007;1;9
unk_65;male;1;27.106000000000222;1;9
Philippe_RELTIEN;male;55;1647.263000000001;3;9
Emmanuel_DELATTRE;male;2;241.57899999999972;1;9
unk_66;female;1;18.246000000000095;1;9
unk_67;male;1;7.275000000000091;1;9
unk_68;female;1;5.053999999999633;1;9
William_BOURDON;male;2;96.16900000000004;1;9
unk_69;female;3;76.81000000000006;1;9
Hubert_HUERTAS;male;3;39.10400000000004;1;9
Bruno_MEGRET;male;2;64.79700000000014;1;9
Nicole_GUILLARD;female;1;54.85399999999993;1;9
Cedric_KAHN;male;2;45.553999999999974;1;9
Jean-Marie_LE_PEN;male;56;1258.3070000000005;1;9
unk_70;male;2;46.320000000000164;1;9
unk_71;male;1;18.278000000000247;1;9
unk_72;female;2;56.128999999999905;1;9
Pierre_SANE;male;1;63.50400000000002;1;9
Anne_COLDEFY;female;1;63.55500000000001;1;9
Quentin_DICKINSON;male;15;773.2370000000003;1;9
Francois_BEAUDONNET;male;18;620.8010000000005;1;9
Dominique_AUDUC;male;4;93.16300000000001;1;9
Henrik_UTERWEDDE;male;1;99.8599999999999;1;9
Thierry_FIORILE;male;6;172.80600000000015;1;9
Sylvie_JOHNSSON;female;3;39.163000000000466;1;9
unk_73;male;1;8.88299999999981;1;9
Jacques_BORTAYROU;male;1;26.847999999999956;1;9
Michel_LAGARDE;male;1;51.17500000000018;1;9
unk_74;female;2;42.876000000000204;1;9
unk_75;male;2;14.198999999999614;1;9
Jean-Paul_LEDUC;male;2;60.103000000000065;1;9
unk_76;male;1;76.37700000000007;1;9
unk_77;female;1;33.88099999999997;1;9
Pierre_BERCIS;male;18;505.299;1;9
unk_78;female;2;72.35899999999992;1;9
unk_79;male;1;51.28600000000006;1;9
unk_80;male;1;63.60100000000011;1;9
unk_81;male;2;23.903999999999996;1;9
unk_82;male;1;14.389999999999873;1;9
unk_83;male;1;19.008999999999986;1;9
unk_84;female;1;24.062000000000012;1;9
Sophie_BECHEREL;female;11;137.65600000000035;1;9
Louis_VIANNET;male;1;13.347999999999956;1;9
